Local Government Area,Average Household Consumption (kWh per customer per day) Annual,Residential General Supply (MWh),Residential Off Peak Hot Water (MWh),Residential Total (MWh),Residential No of Off Peak Customers,Residential Total number of Customers,Number of solar customers Res,Number of solar customers Non-Res,"Solar  Generation capacity (kWp) Res
 (kWp)",Solar  Generation capacity (kWp) Non-Res (kWp),Solar Energy exported to the grid (MWh),"Non-residential small sites
(0-160 MWh pa) MWh","Non-residential small sites
(0-160 MWh pa)Number of Customers","Non-residential med-large sites
(>160 MWh pa)MWh","Non-residential med-large sites
(>160 MWh pa) Number of Customers",Year
NEWCASTLE,13.70,311806.00,53494.00,365300.00,29694.00,73208.00,11139.00,561.00,49787.00,20393.00,46487.00,156676.00,8036.00,263850.00,515.00,2020
PORT STEPHENS,16.90,169998.00,46769.00,216767.00,23513.00,35108.00,8151.00,245.00,40727.00,5936.00,31131.00,53078.00,2986.00,89790.00,194.00,2020
SINGLETON,21.50,64191.00,13978.00,78169.00,6088.00,9977.00,2447.00,144.00,15021.00,5562.00,12941.00,27270.00,1677.00,32676.00,92.00,2020
UPPER HUNTER,20.10,34745.00,7855.00,42600.00,3524.00,5799.00,1143.00,109.00,6751.00,1869.00,5987.00,20683.00,1251.00,8937.00,27.00,2020
Total 2020,15.10,7719782.00,984916.00,8704698.00,473273.00,1583723.00,175411.00,7376.00,841499.00,208890.00,601092.00,3210826.00,167658.00,12409881.00,11551.00,2020
BAYSIDE,12.60,288212.00,27333.00,315545.00,14792.00,68610.00,4381.00,279.00,21106.00,6862.00,16060.00,124556.00,6321.00,233090.00,444.00,2021
BURWOOD,12.50,64415.00,3377.00,67792.00,2101.00,14861.00,995.00,52.00,4700.00,989.00,3398.00,33564.00,1589.00,78771.00,114.00,2021
CANADA BAY,13.50,183033.00,7881.00,190914.00,4765.00,38740.00,2490.00,117.00,13198.00,4285.00,9464.00,60892.00,2858.00,111829.00,205.00,2021
CANTERBURY-BANKSTOWN,15.00,656764.00,75740.00,732505.00,35055.00,133409.00,14679.00,823.00,69656.00,26828.00,54988.00,210103.00,11872.00,490444.00,683.00,2021
CUMBERLAND,12.80,101212.00,8202.00,109414.00,3853.00,23410.00,2550.00,179.00,11524.00,6067.00,9778.00,67223.00,2698.00,125651.00,219.00,2021
GEORGES RIVER,14.60,277223.00,38534.00,315757.00,18522.00,59056.00,6046.00,234.00,30774.00,6388.00,21714.00,79134.00,5498.00,155610.00,247.00,2021
HORNSBY,18.50,309580.00,49853.00,359433.00,20435.00,53315.00,9222.00,222.00,49582.00,6108.00,31953.00,69630.00,4235.00,134093.00,240.00,2021
HUNTERS HILL,21.80,41817.00,2924.00,44741.00,1302.00,5618.00,560.00,16.00,3055.00,296.00,1597.00,7757.00,443.00,12778.00,23.00,2021
INNER WEST,11.90,359054.00,11587.00,370641.00,8508.00,85575.00,5793.00,448.00,24740.00,11380.00,17131.00,158741.00,8719.00,212004.00,423.00,2021
KU-RING-GAI,22.00,331181.00,32468.00,363649.00,14268.00,45324.00,6081.00,120.00,37855.00,3332.00,18984.00,52230.00,2732.00,89625.00,175.00,2021
LANE COVE,15.60,91084.00,4044.00,95128.00,2167.00,16723.00,1365.00,55.00,7802.00,1216.00,4189.00,31228.00,1594.00,59350.00,135.00,2021
MOSMAN,18.10,89537.00,3588.00,93125.00,1799.00,14128.00,812.00,29.00,5085.00,578.00,2620.00,20445.00,1225.00,15003.00,44.00,2021
NORTH SYDNEY,11.90,167322.00,4776.00,172098.00,2685.00,39736.00,780.00,83.00,3750.00,1727.00,2472.00,109606.00,6319.00,178218.00,337.00,2021
NORTHERN BEACHES,16.30,587046.00,58752.00,645798.00,30186.00,108392.00,13095.00,468.00,69951.00,11513.00,42627.00,183967.00,11306.00,286004.00,490.00,2021
PARRAMATTA,11.70,82491.00,5446.00,87937.00,2437.00,20565.00,2370.00,142.00,7514.00,6476.00,5680.00,55881.00,1785.00,255631.00,315.00,2021
RANDWICK,12.80,274058.00,17266.00,291324.00,9612.00,62448.00,3898.00,161.00,20552.00,4530.00,14140.00,70330.00,3490.00,172083.00,246.00,2021
RYDE,13.70,235554.00,19440.00,254994.00,9682.00,50915.00,4756.00,173.00,24292.00,6312.00,16154.00,101516.00,4348.00,368349.00,542.00,2021
STRATHFIELD,14.10,78609.00,3975.00,82584.00,2091.00,16019.00,1196.00,102.00,6836.00,7873.00,5303.00,41175.00,1715.00,110540.00,184.00,2021
SUTHERLAND,19.00,524346.00,106763.00,631109.00,41379.00,91149.00,12981.00,385.00,71859.00,9742.00,49515.00,132411.00,8216.00,209245.00,355.00,2021
SYDNEY,9.90,407090.00,8258.00,415348.00,4824.00,115011.00,1637.00,512.00,6084.00,13681.00,6489.00,610737.00,31348.00,1793038.00,2505.00,2021
WAVERLEY,12.90,161246.00,4130.00,165376.00,2964.00,35029.00,1537.00,70.00,8043.00,1491.00,4673.00,45891.00,2696.00,89681.00,157.00,2021
WILLOUGHBY,15.10,166855.00,7583.00,174438.00,4364.00,31605.00,2845.00,157.00,15590.00,4054.00,9553.00,92313.00,5060.00,238096.00,329.00,2021
WOOLLAHRA,19.00,189607.00,6953.00,196559.00,3716.00,28271.00,984.00,76.00,6313.00,1095.00,2942.00,50147.00,2859.00,46839.00,105.00,2021
CENTRAL COAST,16.60,763403.00,173913.00,937316.00,80158.00,155122.00,31005.00,965.00,157520.00,31021.00,119932.00,206278.00,12444.00,491940.00,686.00,2021
CESSNOCK,17.60,149466.00,22234.00,171700.00,10579.00,26723.00,6854.00,301.00,41167.00,12441.00,38879.00,38361.00,1869.00,69937.00,133.00,2021
LAKE MACQUARIE,16.70,438452.00,106411.00,544863.00,52732.00,89332.00,22160.00,608.00,116463.00,15173.00,91922.00,116184.00,6923.00,191488.00,394.00,2021
MAITLAND,16.60,192455.00,27180.00,219634.00,12933.00,36292.00,9756.00,308.00,57454.00,12058.00,47579.00,60298.00,3074.00,85092.00,162.00,2021
MUSWELLBROOK,20.20,43755.00,10266.00,54021.00,4380.00,7341.00,1476.00,100.00,9263.00,1969.00,8032.00,26723.00,1359.00,17788.00,46.00,2021
NEWCASTLE,13.70,316639.00,52247.00,368886.00,29173.00,73861.00,12440.00,639.00,60414.00,23119.00,56407.00,157074.00,8182.00,259379.00,503.00,2021
PORT STEPHENS,16.60,171968.00,45869.00,217836.00,23402.00,35859.00,9038.00,290.00,48478.00,7586.00,39710.00,52082.00,3014.00,86315.00,189.00,2021
SINGLETON,21.30,64937.00,13890.00,78827.00,6068.00,10154.00,2735.00,169.00,17892.00,6664.00,17370.00,27498.00,1691.00,30961.00,86.00,2021
UPPER HUNTER,20.10,35160.00,7967.00,43127.00,3500.00,5864.00,1266.00,116.00,7781.00,2152.00,6560.00,19774.00,1258.00,8599.00,25.00,2021
Total 2021,15.10,7844319.00,968952.00,8813270.00,464471.00,1598568.00,197783.00,8399.00,1036290.00,255005.00,777815.00,3115485.00,168814.00,12153371.00,11208.00,2021
